ID,gakku,fiscal year,pop_total,pop_0_11,pop_12_18,pop_19_64,pop_65_over,rate_65_over
101,Komatsu,2018,4216,363,217,2228,1408,0.33396584440227706
102,Kido,2018,4711,431,360,2499,1421,0.3016344725111441
103,Wani,2018,8643,793,697,4810,2343,0.2710864283234988
104,Ono,2018,4439,221,172,1951,2095,0.4719531425996846
105,Katsuragawa,2018,236,16,9,83,128,0.5423728813559322
106,Ikadachi,2018,2642,310,108,1383,841,0.3183194549583649
107,Mano,2018,7602,876,547,4246,1933,0.2542751907392791
108,Mano Kita,2018,6418,398,307,3364,2349,0.36600186974135246
109,Katata,2018,16938,1893,1048,10407,3590,0.21194946274648718
110,Ogi,2018,2056,121,116,1031,788,0.3832684824902724
111,Ogi no Sato,2018,4638,459,277,2549,1353,0.29172056921086675
112,Ogi no Sato Higashi,2018,8812,1029,848,5188,1747,0.19825238311393553
113,Ogoto,2018,6121,761,377,3471,1512,0.24701846103577846
114,Hiyoshidai,2018,3697,215,187,1496,1799,0.4866107654855288
115,Sakamoto,2018,10092,1055,593,5449,2995,0.2967697185889814
116,Shimosakamoto,2018,10990,1571,838,6331,2250,0.20473157415832574
117,Karasaki,2018,16245,1775,1115,9106,4249,0.26155740227762386
118,Shiga,2018,16646,1788,1130,9410,4318,0.2594016580559894
119,Yamanaka Hieidaira,2018,2785,191,179,1304,1111,0.39892280071813285
120,Fujio,2018,5154,319,274,2733,1828,0.35467597982149784
121,Nagara,2018,12482,1170,745,7137,3430,0.2747957058163756
122,Ousaka,2018,8071,868,455,4419,2329,0.2885639945483831
123,Chuo,2018,6346,763,317,3688,1578,0.2486605735896628
124,Hirano,2018,18568,2166,1457,10346,4599,0.24768418785006463
125,Zeze,2018,15586,1510,944,8495,4637,0.2975105864237136
126,Fujimi,2018,9210,1073,700,5292,2145,0.23289902280130292
127,Seiran,2018,17875,1819,1116,10449,4491,0.25124475524475526
128,Ishiyama,2018,10352,980,764,5621,2987,0.2885432766615147
129,Nango,2018,9663,963,633,4846,3221,0.3333333333333333
130,Oishi,2018,4924,430,474,2721,1299,0.2638099106417547
131,Tanoue,2018,10266,770,621,5459,3416,0.33274887979738943
132,Kamitanoue,2018,2045,105,110,1000,830,0.4058679706601467
133,Aoyama,2018,11000,1725,1269,6419,1587,0.14427272727272727
134,Seta,2018,14295,2303,1110,8543,2339,0.16362364463098986
135,Seta Minami,2018,15455,1590,1126,8231,4508,0.29168553866062763
136,Seta Higashi,2018,15603,1902,1077,9023,3601,0.23078895084278664
137,Seta Kita,2018,17977,2415,1458,11440,2664,0.1481893530622462
101,Komatsu,2019,4165,341,233,2165,1426,0.3423769507803121
102,Kido,2019,4661,398,351,2457,1455,0.31216477150826005
103,Wani,2019,8578,767,667,4772,2372,0.2765213336442061
104,Ono,2019,4424,208,179,1917,2120,0.47920433996383366
105,Katsuragawa,2019,234,16,8,85,125,0.5341880341880342
106,Ikadachi,2019,2692,340,114,1370,868,0.3224368499257058
107,Mano,2019,7573,843,568,4200,1962,0.25907830450283903
108,Mano Kita,2019,6307,399,289,3193,2426,0.384651973997146
109,Katata,2019,16971,1884,1060,10330,3697,0.21784220140239233
110,Ogi,2019,2012,116,104,996,796,0.3956262425447316
111,Ogi no Sato,2019,4607,461,263,2480,1403,0.3045365747775125
112,Ogi no Sato Higashi,2019,8752,952,871,5104,1825,0.2085237659963437
113,Ogoto,2019,6117,736,402,3448,1531,0.2502860879516103
114,Hiyoshidai,2019,3644,202,177,1453,1812,0.4972557628979144
115,Sakamoto,2019,10152,1065,591,5498,2998,0.29531126871552404
116,Shimosakamoto,2019,11192,1575,876,6460,2281,0.20380629020729094
117,Karasaki,2019,16365,1797,1101,9198,4269,0.2608615948670944
118,Shiga,2019,16588,1751,1090,9384,4363,0.26302146129732334
119,Yamanaka Hieidaira,2019,2748,184,179,1237,1148,0.4177583697234352
120,Fujio,2019,5099,321,262,2691,1825,0.35791331633653656
121,Nagara,2019,12535,1151,754,7156,3474,0.277143996808935
122,Ousaka,2019,8477,943,467,4689,2378,0.2805237702017223
123,Chuo,2019,6519,796,332,3806,1585,0.24313545022242675
124,Hirano,2019,18744,2168,1481,10440,4655,0.24834613743064446
125,Zeze,2019,15564,1464,941,8526,4633,0.2976741197635569
126,Fujimi,2019,9297,1121,675,5343,2158,0.23211788749058837
127,Seiran,2019,17835,1781,1094,10478,4482,0.2513036164844407
128,Ishiyama,2019,10241,951,741,5559,2990,0.29196367542232204
129,Nango,2019,9581,939,623,4765,3254,0.33963051873499633
130,Oishi,2019,4863,389,462,2686,1326,0.27267119062307216
131,Tanoue,2019,10053,722,596,5270,3465,0.3446732318710833
132,Kamitanoue,2019,1987,97,105,960,825,0.4151987921489683
133,Aoyama,2019,11024,1654,1270,6440,1660,0.15058055152394775
134,Seta,2019,14472,2242,1159,8650,2421,0.16728855721393035
135,Seta Minami,2019,15462,1530,1139,8221,4572,0.2956926658905704
136,Seta Higashi,2019,15599,1855,1045,9001,3698,0.23706647862042438
137,Seta Kita,2019,18498,2445,1439,11830,2784,0.15050275705481675
101,Komatsu,2020,4145,325,255,2110,1455,0.35102533172496986
102,Kido,2020,4597,386,317,2401,1493,0.32477702849684575
103,Wani,2020,8485,759,621,4708,2397,0.2824985268120212
104,Ono,2020,4373,207,177,1856,2133,0.4877658358106563
105,Katsuragawa,2020,218,8,10,75,125,0.573394495412844
106,Ikadachi,2020,2750,358,111,1393,888,0.3229090909090909
107,Mano,2020,7497,826,571,4098,2002,0.26704014939309056
108,Mano Kita,2020,6147,402,278,3012,2455,0.3993818122661461
109,Katata,2020,17083,1894,1032,10390,3767,0.22051161973892172
110,Ogi,2020,1999,112,110,972,805,0.4027013506753377
111,Ogi no Sato,2020,4601,489,259,2381,1472,0.31993044990219516
112,Ogi no Sato Higashi,2020,8717,870,879,5059,1909,0.21899736147757257
113,Ogoto,2020,6129,708,418,3454,1549,0.25273290912057433
114,Hiyoshidai,2020,3640,191,191,1437,1821,0.5002747252747253
115,Sakamoto,2020,10390,1135,582,5648,3025,0.2911453320500481
116,Shimosakamoto,2020,11276,1555,873,6559,2289,0.2029975168499468
117,Karasaki,2020,16491,1807,1093,9283,4308,0.26123340003638346
118,Shiga,2020,16642,1710,1100,9415,4417,0.2654128109602211
119,Yamanaka Hieidaira,2020,2753,189,176,1233,1155,0.4195423174718489
120,Fujio,2020,5053,315,258,2658,1822,0.3605778745299822
121,Nagara,2020,12487,1133,749,7089,3516,0.28157283574917913
122,Ousaka,2020,8557,962,485,4695,2415,0.28222507888278603
123,Chuo,2020,6560,798,342,3837,1583,0.2413109756097561
124,Hirano,2020,18737,2113,1475,10372,4777,0.25495009873512303
125,Zeze,2020,15511,1428,939,8510,4634,0.2987557217458578
126,Fujimi,2020,9252,1103,674,5292,2183,0.2359489840034587
127,Seiran,2020,17850,1763,1077,10508,4502,0.25221288515406165
128,Ishiyama,2020,10206,913,728,5547,3018,0.29570840681951793
129,Nango,2020,9597,957,632,4716,3292,0.34302386162342396
130,Oishi,2020,4805,366,429,2661,1349,0.28074921956295523
131,Tanoue,2020,9997,697,582,5159,3559,0.3560068020406122
132,Kamitanoue,2020,1949,101,99,922,827,0.42432016418676244
133,Aoyama,2020,10947,1548,1279,6397,1723,0.15739472001461588
134,Seta,2020,14588,2192,1158,8741,2497,0.17116808335618316
135,Seta Minami,2020,15350,1482,1130,8159,4579,0.29830618892508143
136,Seta Higashi,2020,15552,1799,1064,8936,3753,0.24131944444444445
137,Seta Kita,2020,19045,2504,1408,12243,2890,0.15174586505644527
101,Komatsu,2021,4112,315,246,2068,1483,0.36065175097276264
102,Kido,2021,4553,373,308,2367,1505,0.3305512848671206
103,Wani,2021,8376,715,612,4610,2439,0.291189111747851
104,Ono,2021,4305,195,167,1819,2124,0.49337979094076656
105,Katsuragawa,2021,219,5,11,81,122,0.5570776255707762
106,Ikadachi,2021,2789,389,114,1396,890,0.3191107923987092
107,Mano,2021,7490,800,564,4089,2037,0.2719626168224299
108,Mano Kita,2021,6058,399,267,2870,2522,0.41630901287553645
109,Katata,2021,17251,1941,1030,10402,3878,0.22479856240217957
110,Ogi,2021,1959,102,109,943,805,0.4109239407861154
111,Ogi no Sato,2021,4567,492,235,2324,1516,0.331946573242829
112,Ogi no Sato Higashi,2021,8691,825,834,5055,1977,0.22747670003451848
113,Ogoto,2021,6258,695,467,3548,1548,0.2473633748801534
114,Hiyoshidai,2021,3659,205,178,1446,1830,0.500136649357748
115,Sakamoto,2021,10551,1205,582,5722,3042,0.2883139038953654
116,Shimosakamoto,2021,11476,1639,845,6694,2298,0.2002439874520739
117,Karasaki,2021,16598,1770,1112,9387,4329,0.2608145559705989
118,Shiga,2021,16845,1723,1089,9545,4488,0.2664292074799644
119,Yamanaka Hieidaira,2021,2717,182,169,1212,1154,0.42473316157526686
120,Fujio,2021,5024,319,252,2629,1824,0.3630573248407643
121,Nagara,2021,12411,1111,742,7020,3538,0.2850696962372089
122,Ousaka,2021,8506,941,492,4627,2446,0.2875617211380202
123,Chuo,2021,6571,810,339,3840,1582,0.24075483183685892
124,Hirano,2021,18776,2049,1460,10415,4852,0.2584149978696208
125,Zeze,2021,15473,1408,917,8484,4664,0.301428294448394
126,Fujimi,2021,9159,1112,644,5209,2194,0.2395458019434436
127,Seiran,2021,17702,1730,1078,10370,4524,0.255564343012089
128,Ishiyama,2021,10160,906,692,5525,3037,0.29891732283464567
129,Nango,2021,9556,919,640,4702,3295,0.3448095437421515
130,Oishi,2021,4724,336,394,2633,1361,0.2881033022861981
131,Tanoue,2021,9898,675,553,5057,3613,0.3650232370175793
132,Kamitanoue,2021,1914,101,89,903,821,0.428944618599791
133,Aoyama,2021,10913,1451,1280,6377,1805,0.16539906533492166
134,Seta,2021,14676,2125,1206,8805,2540,0.17307168165712727
135,Seta Minami,2021,15354,1481,1126,8130,4617,0.3007033997655334
136,Seta Higashi,2021,15542,1756,1040,8921,3825,0.24610732209496847
137,Seta Kita,2021,19162,2510,1395,12298,2959,0.15442020665901263
101,Komatsu,2022,4089,286,261,2044,1498,0.36634874052335537
102,Kido,2022,4534,356,308,2366,1504,0.3317159241288046
103,Wani,2022,8349,700,592,4605,2452,0.29368786681039644
104,Ono,2022,4257,198,168,1767,2124,0.4989429175475687
105,Katsuragawa,2022,221,10,11,83,117,0.5294117647058824
106,Ikadachi,2022,2825,410,115,1410,890,0.31504424778761064
107,Mano,2022,7426,752,568,4063,2043,0.27511446269862644
108,Mano Kita,2022,6075,406,269,2799,2601,0.42814814814814817
109,Katata,2022,17457,2000,1000,10507,3950,0.22627026407744744
110,Ogi,2022,1900,96,96,916,792,0.4168421052631579
111,Ogi no Sato,2022,4563,501,232,2264,1566,0.3431952662721893
112,Ogi no Sato Higashi,2022,8661,791,804,5030,2036,0.2350767809721741
113,Ogoto,2022,6212,644,487,3521,1560,0.2511268512556343
114,Hiyoshidai,2022,3603,209,169,1401,1824,0.5062447960033306
115,Sakamoto,2022,10819,1279,601,5892,3047,0.28163416212219244
116,Shimosakamoto,2022,11765,1687,865,6910,2303,0.19575010624734382
117,Karasaki,2022,16588,1764,1094,9407,4323,0.26061007957559684
118,Shiga,2022,16951,1731,1074,9646,4500,0.2654710636540617
119,Yamanaka Hieidaira,2022,2698,175,165,1185,1173,0.4347664936990363
120,Fujio,2022,4948,319,240,2579,1810,0.3658043654001617
121,Nagara,2022,12329,1071,729,6965,3564,0.28907453970313896
122,Ousaka,2022,8365,912,502,4516,2435,0.29109384339509864
123,Chuo,2022,6825,867,332,4025,1601,0.23457875457875457
124,Hirano,2022,18815,2033,1435,10440,4907,0.26080255115599255
125,Zeze,2022,15341,1383,916,8362,4680,0.30506485887491036
126,Fujimi,2022,9041,1071,620,5169,2181,0.24123437672823803
127,Seiran,2022,17709,1658,1067,10415,4569,0.25800440454006435
128,Ishiyama,2022,10085,883,661,5529,3012,0.29866137828458106
129,Nango,2022,9579,942,639,4709,3289,0.3433552562898006
130,Oishi,2022,4671,311,353,2604,1403,0.3003639477627917
131,Tanoue,2022,9787,656,543,4908,3680,0.3760089915193624
132,Kamitanoue,2022,1869,92,80,865,832,0.4451578384162654
133,Aoyama,2022,10866,1354,1255,6375,1882,0.17320080986563594
134,Seta,2022,14838,2040,1295,8930,2573,0.17340611942310286
135,Seta Minami,2022,15320,1434,1088,8216,4582,0.29908616187989556
136,Seta Higashi,2022,15522,1679,1065,8903,3875,0.24964566421852855
137,Seta Kita,2022,19214,2456,1397,12336,3025,0.15743728531279275
101,Komatsu,2023,4096,289,251,2024,1532,0.3740234375
102,Kido,2023,4497,350,317,2327,1503,0.3342228152101401
103,Wani,2023,8217,653,563,4492,2509,0.3053425824510162
104,Ono,2023,4220,220,161,1723,2116,0.5014218009478673
105,Katsuragawa,2023,238,17,12,91,118,0.4957983193277311
106,Ikadachi,2023,2845,408,127,1423,887,0.3117750439367311
107,Mano,2023,7335,687,576,4013,2059,0.2807089297886844
108,Mano Kita,2023,6071,435,264,2711,2661,0.43831329270301433
109,Katata,2023,17623,2041,1010,10501,4071,0.23100493673040912
110,Ogi,2023,1859,93,90,894,782,0.420656266810113
111,Ogi no Sato,2023,4515,492,226,2184,1613,0.35725359911406424
112,Ogi no Sato Higashi,2023,8592,751,795,4943,2103,0.24476256983240224
113,Ogoto,2023,6302,628,508,3573,1593,0.25277689622342114
114,Hiyoshidai,2023,3527,214,154,1387,1772,0.5024099801531047
115,Sakamoto,2023,11029,1354,620,6017,3038,0.27545561700970167
116,Shimosakamoto,2023,11876,1691,885,6927,2373,0.19981475244189964
117,Karasaki,2023,16559,1748,1066,9372,4373,0.2640859955311311
118,Shiga,2023,17225,1757,1047,9820,4601,0.2671117561683599
119,Yamanaka Hieidaira,2023,2676,170,146,1180,1180,0.44095665171898357
120,Fujio,2023,4895,336,226,2519,1814,0.37058222676200203
121,Nagara,2023,12403,1047,744,7023,3589,0.28936547609449326
122,Ousaka,2023,8287,854,529,4438,2466,0.29757451429950527
123,Chuo,2023,7014,869,348,4184,1613,0.22996863416025093
124,Hirano,2023,18874,1990,1436,10514,4934,0.26141782346084563
125,Zeze,2023,15314,1368,900,8343,4703,0.30710461016063734
126,Fujimi,2023,8802,1015,605,4992,2190,0.24880708929788684
127,Seiran,2023,17606,1636,1078,10318,4574,0.2597977962058389
128,Ishiyama,2023,10068,898,645,5510,3015,0.2994636471990465
129,Nango,2023,9411,887,657,4604,3263,0.34672192115609396
130,Oishi,2023,4598,299,317,2554,1428,0.31056981296215747
131,Tanoue,2023,9718,619,549,4791,3759,0.3868079851821362
132,Kamitanoue,2023,1840,91,75,845,829,0.45054347826086955
133,Aoyama,2023,10687,1224,1244,6270,1949,0.18237110508093946
134,Seta,2023,14937,1951,1359,8998,2629,0.17600589141059114
135,Seta Minami,2023,15239,1380,1065,8192,4602,0.30198831944353305
136,Seta Higashi,2023,15458,1641,1040,8855,3922,0.2537197567602536
137,Seta Kita,2023,19268,2386,1415,12374,3093,0.16052522316794685
101,Komatsu,2024,4046,283,251,1978,1534,0.3791398912506179
102,Kido,2024,4493,332,306,2326,1529,0.34030714444691745
103,Wani,2024,8102,616,572,4352,2562,0.31621821772401876
104,Ono,2024,4166,218,150,1684,2114,0.5074411905904945
105,Katsuragawa,2024,240,21,12,92,115,0.4791666666666667
106,Ikadachi,2024,2841,424,136,1410,871,0.30658218936994014
107,Mano,2024,7264,623,575,3971,2095,0.28840859030837
108,Mano Kita,2024,6042,422,275,2638,2707,0.4480304534922211
109,Katata,2024,17919,2033,1017,10551,4318,0.24097326859757798
110,Ogi,2024,1789,77,95,850,767,0.4287311347121297
111,Ogi no Sato,2024,4466,475,233,2112,1646,0.3685624720107479
112,Ogi no Sato Higashi,2024,8472,718,764,4798,2192,0.2587346553352219
113,Ogoto,2024,6262,581,523,3590,1568,0.25039923347173426
114,Hiyoshidai,2024,3472,204,149,1387,1732,0.4988479262672811
115,Sakamoto,2024,11105,1383,632,6081,3009,0.2709590274651058
116,Shimosakamoto,2024,11927,1686,901,6924,2416,0.2025656074452922
117,Karasaki,2024,16627,1757,1059,9405,4406,0.2649906778131954
118,Shiga,2024,17538,1792,1061,10004,4681,0.2669061466529821
119,Yamanaka Hieidaira,2024,2631,166,138,1149,1178,0.44773850247054353
120,Fujio,2024,4853,328,224,2521,1780,0.36678343292808574
121,Nagara,2024,12395,990,749,7014,3642,0.29382815651472366
122,Ousaka,2024,8229,791,560,4424,2454,0.2982136347065257
123,Chuo,2024,7178,867,386,4321,1604,0.22346057397603789
124,Hirano,2024,19183,1983,1402,10749,5049,0.26320179325444404
125,Zeze,2024,15058,1322,907,8136,4693,0.31166157524239607
126,Fujimi,2024,8733,973,614,4939,2207,0.25271956944921564
127,Seiran,2024,17617,1614,1103,10322,4578,0.259862632684339
128,Ishiyama,2024,10005,883,627,5472,3023,0.3021489255372314
129,Nango,2024,9363,880,680,4545,3258,0.3479653957065043
130,Oishi,2024,4540,285,292,2511,1452,0.3198237885462555
131,Tanoue,2024,9505,572,517,4660,3756,0.39516044187269855
132,Kamitanoue,2024,1799,83,69,821,826,0.4591439688715953
133,Aoyama,2024,10509,1115,1213,6167,2014,0.19164525644685507
134,Seta,2024,14965,1881,1405,8998,2681,0.1791513531573672
135,Seta Minami,2024,15071,1356,1008,8088,4619,0.30648264879570036
136,Seta Higashi,2024,15400,1603,1035,8842,3920,0.2545454545454545
137,Seta Kita,2024,19401,2376,1414,12455,3156,0.162672027215092
101,Komatsu,2025,4033,270,260,1971,1532,0.37986610463674686
102,Kido,2025,4435,311,292,2295,1537,0.3465614430665164
103,Wani,2025,8050,595,542,4337,2576,0.32
104,Ono,2025,4154,226,151,1670,2107,0.5072219547424169
105,Katsuragawa,2025,236,19,12,91,114,0.4830508474576271
106,Ikadachi,2025,2822,415,152,1391,864,0.30616583982990786
107,Mano,2025,7264,617,570,3963,2114,0.2910242290748899
108,Mano Kita,2025,5983,435,272,2579,2697,0.45077720207253885
109,Katata,2025,17977,2029,1037,10532,4379,0.2435890304277688
110,Ogi,2025,1749,70,91,828,760,0.43453401943967984
111,Ogi no Sato,2025,4450,469,243,2069,1669,0.3750561797752809
112,Ogi no Sato Higashi,2025,8416,698,758,4742,2218,0.26354562737642584
113,Ogoto,2025,6294,574,523,3606,1591,0.25278042580235144
114,Hiyoshidai,2025,3471,204,145,1396,1726,0.49726303658887927
115,Sakamoto,2025,11170,1394,655,6102,3019,0.2702775290957923
116,Shimosakamoto,2025,11998,1716,907,6937,2438,0.20320053342223704
117,Karasaki,2025,16706,1759,1084,9483,4380,0.2621812522447025
118,Shiga,2025,17613,1811,1032,10019,4751,0.26974393913586553
119,Yamanaka Hieidaira,2025,2588,161,129,1126,1172,0.4528593508500773
120,Fujio,2025,4816,320,208,2519,1769,0.36731727574750833
121,Nagara,2025,12375,990,729,6989,3667,0.2963232323232323
122,Ousaka,2025,8182,749,569,4396,2468,0.30163774138352484
123,Chuo,2025,7279,856,380,4429,1614,0.22173375463662592
124,Hirano,2025,19395,2005,1386,10926,5078,0.26182005671564834
125,Zeze,2025,15012,1296,925,8083,4708,0.31361577404742874
126,Fujimi,2025,8682,933,607,4935,2207,0.25420410043768715
127,Seiran,2025,17545,1579,1136,10251,4579,0.260986035907666
128,Ishiyama,2025,9979,888,625,5450,3016,0.3022346928549955
129,Nango,2025,9304,836,689,4507,3272,0.351676698194325
130,Oishi,2025,4493,287,279,2479,1448,0.32227910082350325
131,Tanoue,2025,9388,567,490,4577,3754,0.3998721772475501
132,Kamitanoue,2025,1757,80,65,795,817,0.4649971542401821
133,Aoyama,2025,10384,1044,1205,6060,2075,0.19982665639445302
134,Seta,2025,15050,1819,1467,9042,2722,0.18086378737541528
135,Seta Minami,2025,15018,1340,1001,8073,4604,0.30656545478758823
136,Seta Higashi,2025,15441,1561,1052,8879,3949,0.25574768473544457
137,Seta Kita,2025,19772,2397,1408,12730,3237,0.1637163665790006
